"","yy","mm","dd","hh","mm_2","wdir","wspd","gst","wvht","dpd","apd","mwd","pres","atmp","wtmp","dewp","vis","tide"
"1","2024","01","01","00","18","60","2.1","99.0","99.00","99.00","99.00","999","1018.6","13.5","14.5","999.0","99.0","99.00"
"2","2024","01","01","01","18","80","1.0","99.0","99.00","99.00","99.00","999","1018.6","13.5","14.5","999.0","99.0","99.00"
"3","2024","01","01","02","18","100","1.5","99.0","99.00","99.00","99.00","999","1018.9","13.7","14.5","999.0","99.0","99.00"
"4","2024","01","01","03","18","80","1.5","99.0","99.00","99.00","99.00","999","1019.2","13.8","14.5","999.0","99.0","99.00"
"5","2024","01","01","04","18","60","1.5","99.0","99.00","99.00","99.00","999","1019.2","13.8","14.5","999.0","99.0","99.00"
"6","2024","01","01","05","18","350","4.1","99.0","99.00","99.00","99.00","999","1019.4","13.7","14.5","999.0","99.0","99.00"
"7","2024","01","01","06","18","20","4.1","99.0","99.00","99.00","99.00","999","1019.3","13.1","14.5","999.0","99.0","99.00"
"8","2024","01","01","07","18","30","4.1","99.0","99.00","99.00","99.00","999","1019.6","13.0","14.5","999.0","99.0","99.00"
"9","2024","01","01","08","18","60","2.6","99.0","99.00","99.00","99.00","999","1019.5","12.9","14.5","999.0","99.0","99.00"
"10","2024","01","01","09","18","70","4.1","99.0","99.00","99.00","99.00","999","1019.7","12.7","14.5","999.0","99.0","99.00"
"11","2024","01","01","10","18","70","4.6","99.0","99.00","99.00","99.00","999","1020.1","12.6","14.5","999.0","99.0","99.00"
"12","2024","01","01","11","18","40","3.6","99.0","99.00","99.00","99.00","999","1020.1","12.2","14.4","999.0","99.0","99.00"
"13","2024","01","01","12","18","30","2.6","99.0","99.00","99.00","99.00","999","1020.1","12.2","14.5","999.0","99.0","99.00"
"14","2024","01","01","13","18","60","4.6","99.0","99.00","99.00","99.00","999","1020.1","12.1","14.5","999.0","99.0","99.00"
"15","2024","01","01","14","18","90","6.2","99.0","99.00","99.00","99.00","999","1020.5","12.0","14.4","999.0","99.0","99.00"
"16","2024","01","01","15","18","80","5.7","99.0","99.00","99.00","99.00","999","1021.0","11.8","14.4","999.0","99.0","99.00"
"17","2024","01","01","16","18","80","6.7","99.0","99.00","99.00","99.00","999","1021.4","11.5","14.4","999.0","99.0","99.00"
"18","2024","01","01","17","18","70","7.2","99.0","99.00","99.00","99.00","999","1022.2","11.2","14.5","999.0","99.0","99.00"
"19","2024","01","01","18","18","70","3.1","99.0","99.00","99.00","99.00","999","1023.1","11.2","14.4","999.0","99.0","99.00"
"20","2024","01","01","19","18","20","3.6","99.0","99.00","99.00","99.00","999","1022.8","11.9","14.5","999.0","99.0","99.00"
"21","2024","01","01","20","18","50","5.1","99.0","99.00","99.00","99.00","999","1021.4","12.9","14.5","999.0","99.0","99.00"
"22","2024","01","01","21","18","30","3.1","99.0","99.00","99.00","99.00","999","1020.9","13.8","14.5","999.0","99.0","99.00"
"23","2024","01","01","22","18","330","2.6","99.0","99.00","99.00","99.00","999","1020.8","14.1","14.6","999.0","99.0","99.00"
"24","2024","01","02","00","18","290","6.2","99.0","99.00","99.00","99.00","999","1021.5","14.1","14.7","999.0","99.0","99.00"
"25","2024","01","02","01","18","290","4.1","99.0","99.00","99.00","99.00","999","1021.6","13.9","14.6","999.0","99.0","99.00"
"26","2024","01","02","02","18","290","4.1","99.0","99.00","99.00","99.00","999","1022.0","14.1","14.6","999.0","99.0","99.00"
"27","2024","01","02","03","18","290","3.6","99.0","99.00","99.00","99.00","999","1022.4","14.1","14.6","999.0","99.0","99.00"
"28","2024","01","02","04","18","290","3.6","99.0","99.00","99.00","99.00","999","1022.7","14.2","14.5","999.0","99.0","99.00"
"29","2024","01","02","05","18","310","3.1","99.0","99.00","99.00","99.00","999","1023.0","14.0","14.5","999.0","99.0","99.00"
"30","2024","01","02","06","18","10","1.5","99.0","99.00","99.00","99.00","999","1023.1","13.6","14.5","999.0","99.0","99.00"
"31","2024","01","02","07","18","0","0.0","99.0","99.00","99.00","99.00","999","1023.3","13.2","14.5","999.0","99.0","99.00"
"32","2024","01","02","08","18","260","0.5","99.0","99.00","99.00","99.00","999","1023.3","13.3","14.5","999.0","99.0","99.00"
